speaker,word,image,contact,horizontal.ground,3d.ground,animacy.fig,top.of.ground,containment,3d.fig,go.around.ground,go.around.fig,ground,ground.vertical,fig.attached.to.ground,ground.larger.2D.fig,ground.building,fig.side.ground,fig.far.ground
M01,pohn,1,1,1,1,inanim,1,0,1,0,0,tehpel,0,0,1,0,0,0
M02,pohn,1,1,1,1,inanim,1,0,1,0,0,tehpel,0,0,1,0,0,0
M03,pohn,1,1,1,1,inanim,1,0,1,0,0,tehpel,0,0,1,0,0,0
F01,pohn,1,1,1,1,inanim,1,0,1,0,0,tehpel,0,0,1,0,0,0
F02,pohn,1,1,1,1,inanim,1,0,1,0,0,tehpel,0,0,1,0,0,0
M01,nan,2,1,0,1,inanim,0,1,1,0,1,pwohl,0,0,0,0,0,0
M02,nan,2,1,0,1,inanim,0,1,1,0,1,pwohl,0,0,0,0,0,0
M03,nan,2,1,0,1,inanim,0,1,1,0,1,pwohl,0,0,0,0,0,0
F01,nan,2,1,0,1,inanim,0,1,1,0,1,pwohl,0,0,0,0,0,0
F02,nan,2,1,0,1,inanim,0,1,1,0,1,pwohl,0,0,0,0,0,0
M01,pohn,3,1,0,0,inanim,1,0,0,0,0,enpelop,1,1,1,0,0,0
M02,pohn,3,1,0,0,inanim,1,0,0,0,0,enpelop,1,1,1,0,0,0
F01,pohn,3,1,0,0,inanim,1,0,0,0,0,enpelop,1,1,1,0,0,0
M01,ni,4,1,0,1,inanim,0,0,1,1,0,kandehl,1,1,0,0,0,0
M02,nan,4,1,0,1,inanim,0,0,1,1,0,lukop,1,1,0,0,0,0
M03,ni,4,1,0,1,inanim,0,0,1,1,0,kandehl,1,1,0,0,0,0
F02,nan,4,1,0,1,inanim,0,0,1,1,0,lukop,1,1,0,0,0,0
M01,pohn,5,1,0,1,inanim,1,0,1,1,0,head,1,0,0,0,0,0
M02,pohn,5,1,0,1,inanim,1,0,1,1,0,head,1,0,0,0,0,0
M03,pohn,5,1,0,1,inanim,1,0,1,1,0,head,1,0,0,0,0,0
F01,pohn,5,1,0,1,inanim,1,0,1,1,0,head,1,0,0,0,0,0
F02,pohn,5,1,0,1,inanim,1,0,1,1,0,head,1,0,0,0,0,0
M01,nan,6,1,1,0,anim,1,0,0,0,0,dihpw,0,0,1,0,1,0
M02,likin,6,0,0,1,anim,0,0,1,0,0,ihmw,1,0,0,1,1,0
M03,likin,6,0,0,1,anim,0,0,1,0,0,ihmw,1,0,0,1,1,0
F01,likin,6,0,0,1,anim,0,0,1,0,0,ihmw,1,0,0,1,1,0
F02,likin,6,0,0,1,anim,0,0,1,0,0,ihmw,1,0,0,1,1,0
M01,ni,7,1,1,0,anim,0,0,1,0,0,ceiling,0,0,1,0,0,0
M02,nan,7,1,1,0,anim,0,0,1,0,0,ceiling,0,0,1,0,0,0
M03,ni,7,1,1,0,anim,0,0,1,0,0,denso,0,0,1,0,0,0
F02,pahn,7,1,1,0,anim,0,0,1,0,0,pweleng,0,0,1,0,0,0
M01,pohn,8,1,1,1,inanim,1,0,1,0,0,shelf,0,0,0,0,0,0
M02,pohn,8,1,1,1,inanim,1,0,1,0,0,shelf,0,0,0,0,0,0
M03,pohn,8,1,1,1,inanim,1,0,1,0,0,shelf,0,0,0,0,0,0
F01,pohn,8,1,1,1,inanim,1,0,1,0,0,shelf,0,0,0,0,0,0
F02,pohn,8,1,1,1,inanim,1,0,1,0,0,shelf,0,0,0,0,0,0
M01,ni,9,1,0,0,inanim,0,0,1,1,0,wall,1,1,0,0,0,0
F02,ni,9,1,0,0,inanim,0,0,1,1,0,wall,1,1,0,0,0,0
M01,ni,10,1,0,1,inanim,0,0,1,1,0,peh,0,0,0,0,0,0
M02,ni,10,1,0,1,inanim,0,0,1,1,0,peh,0,0,0,0,0,0
M03,ni,10,1,0,1,inanim,0,0,1,1,0,peh,0,0,0,0,0,0
F01,ni,10,1,0,1,inanim,0,0,1,1,0,peh,0,0,0,0,0,0
F02,ni,10,1,0,1,inanim,0,0,1,1,0,peh,0,0,0,0,0,0
M01,nan,11,1,1,1,inanim,1,1,1,0,1,ilok,0,0,1,0,0,0
M02,nan,11,1,1,1,inanim,1,1,1,0,1,madau,0,0,1,0,0,0
M03,nan,11,1,1,1,inanim,1,1,1,0,1,sehd,0,0,1,0,0,0
F01,nan,11,1,1,1,inanim,1,1,1,0,1,sehd,0,0,1,0,0,0
F02,pohn,11,1,1,1,inanim,1,1,1,0,1,sehd,0,0,1,0,0,0
M01,pohn,12,1,1,0,inanim,1,0,0,0,0,naip,0,1,0,0,0,0
M02,pohn,12,1,1,0,inanim,1,0,0,0,0,naip,0,1,0,0,0,0
M03,pohn,12,1,1,0,inanim,1,0,0,0,0,naip,0,1,0,0,0,0
F01,pohn,12,1,1,0,inanim,1,0,0,0,0,naip,0,1,0,0,0,0
F02,ni,12,1,1,0,inanim,1,0,0,0,0,naip,0,1,0,0,0,0
M02,pohn,13,0,1,1,inanim,1,0,1,0,0,tehpel,0,0,0,0,0,0
M03,pohn,13,0,1,1,inanim,1,0,1,0,0,tehpel,0,0,0,0,0,0
F01,ni,13,1,1,0,inanim,0,0,1,0,0,ceiling,0,1,1,0,0,0
F02,pohn,13,0,1,1,inanim,1,0,1,0,0,tehpel,0,0,0,0,0,0
M01,nan,14,1,0,1,inanim,0,1,1,0,1,bag,0,0,0,0,0,0
M02,nan,14,1,0,1,inanim,0,1,1,0,1,bag,0,0,0,0,0,0
F01,nan,14,1,0,1,inanim,0,1,1,0,1,bag,0,0,0,0,0,0
M03,nan,14,1,0,1,inanim,0,1,1,0,1,bag,0,0,0,0,0,0
F02,nan,14,1,0,1,inanim,0,1,1,0,1,bag,0,0,0,0,0,0
M01,pahn,16,0,1,1,inanim,0,1,1,0,0,sehr,1,0,1,0,0,0
M02,pahn,16,0,1,1,inanim,0,1,1,0,0,sehr,1,0,1,0,0,0
F01,pahn,16,0,1,1,inanim,0,1,1,0,0,sehr,1,0,1,0,0,0
M03,pahn,16,0,1,1,inanim,0,1,1,0,0,sehr,1,0,1,0,0,0
F02,pahn,16,0,1,1,inanim,0,1,1,0,0,sehr,1,0,1,0,0,0
M01,ni,18,1,0,0,inanim,0,1,0,0,1,sheet,1,1,1,0,0,0
M02,pohn,18,1,0,0,inanim,0,1,0,0,1,sheet,1,1,1,0,0,0
F01,ni,18,1,0,0,inanim,0,1,0,0,1,sheet,1,1,1,0,0,0
M03,ni,18,1,0,0,inanim,0,1,0,0,1,sheet,1,1,1,0,0,0
F02,ni,18,1,0,0,inanim,0,1,0,0,1,sheet,1,1,1,0,0,0
M01,pohn,19,1,1,1,inanim,1,0,1,0,1,dahl,0,0,1,0,0,0
M02,nan,19,1,1,1,inanim,1,0,1,0,1,dahl,0,0,1,0,0,0
F01,nan,19,1,1,1,inanim,1,0,1,0,1,dahl,0,0,1,0,0,0
M03,nan,19,1,1,1,inanim,1,0,1,0,1,dahl,0,0,1,0,0,0
F02,nan,19,1,1,1,inanim,1,0,1,0,1,dahl,0,0,1,0,0,0
M01,ni,20,1,0,1,inanim,0,0,1,1,0,tuhke,0,1,0,0,0,0
M02,ni,20,1,0,1,inanim,0,0,1,1,0,tuhke,0,1,0,0,0,0
F01,ni,20,1,0,1,inanim,0,0,1,1,0,tuhke,0,1,0,0,0,0
M03,ni,20,1,0,1,inanim,0,0,1,1,0,tuhke,0,1,0,0,0,0
F02,ni,20,1,0,1,inanim,0,0,1,1,0,tuhke,0,1,0,0,0,0
M02,ni,21,1,0,1,inanim,0,1,1,1,0,neh,0,0,0,0,0,0
F01,ni,21,1,0,1,inanim,0,1,1,1,0,neh,0,0,0,0,0,0
M03,ni,21,1,0,1,inanim,0,1,1,1,0,neh,0,0,0,0,0,0
F02,ni,21,1,0,1,inanim,0,1,1,1,0,neh,0,0,0,0,0,0
M01,ni,22,1,0,1,inanim,0,0,0,1,0,kisin_mete,1,1,0,0,0,0
M02,ni,22,1,0,1,inanim,0,0,0,1,0,kisin_mete,1,1,0,0,0,0
F01,ni,22,1,0,1,inanim,0,0,0,1,0,kisin_mete,1,1,0,0,0,0
M03,ni,22,1,0,1,inanim,0,0,0,1,0,kisin_mete,1,1,0,0,0,0
F02,ni,22,1,0,1,inanim,0,0,0,1,0,kisin_mete,1,1,0,0,0,0
M01,pohn,23,1,1,1,inanim,1,0,1,0,0,tuhke,0,0,0,0,0,0
M02,pohn,23,1,1,1,inanim,1,0,1,0,0,tuhke,0,0,0,0,0,0
F01,pohn,23,1,1,1,inanim,1,0,1,0,0,tuhke,0,0,0,0,0,0
M03,pohn,23,1,1,1,inanim,1,0,1,0,0,tuhke,0,0,0,0,0,0
F02,pohn,23,1,1,1,inanim,1,0,1,0,0,tuhke,0,0,0,0,0,0
M01,pahn,24,1,1,0,inanim,0,0,1,0,0,napkin,0,0,1,0,0,0
M02,pahn,24,1,1,0,inanim,0,0,1,0,0,napkin,0,0,1,0,0,0
F01,pahn,24,1,1,0,inanim,0,0,1,0,0,napkin,0,0,1,0,0,0
M03,pahn,24,1,1,0,inanim,0,0,1,0,0,napkin,0,0,1,0,0,0
F02,pahn,24,1,1,0,inanim,0,0,1,0,0,napkin,0,0,1,0,0,0
M01,ni,25,1,0,0,inanim,0,0,1,0,1,wall,1,1,1,0,0,0
M02,ni,25,1,0,0,inanim,0,0,1,0,1,wall,1,1,1,0,0,0
F01,ni,25,1,0,0,inanim,0,0,1,0,1,wall,1,1,1,0,0,0
M03,ni,25,1,0,0,inanim,0,0,1,0,1,wall,1,1,1,0,0,0
F02,ni,25,1,0,0,inanim,0,0,1,0,1,wall,1,1,1,0,0,0
M01,ni,26,1,0,1,inanim,0,1,0,0,1,kep,1,1,1,0,0,0
M02,ni,26,1,0,1,inanim,0,1,0,0,1,kep,1,1,1,0,0,0
F01,ni,26,1,0,1,inanim,0,1,0,0,1,kep,1,1,1,0,0,0
M03,ni,26,1,0,1,inanim,0,1,0,0,1,kep,1,1,1,0,0,0
F02,ni,26,1,0,1,inanim,0,1,0,0,1,kep,1,1,1,0,0,0
M01,nan,27,1,0,1,inanim,0,0,1,0,0,tuhke,0,1,1,0,0,0
M02,ni,27,1,0,1,inanim,0,0,1,0,0,tuhke,0,1,1,0,0,0
F01,ni,27,1,0,1,inanim,0,0,1,0,0,tuhke,0,1,1,0,0,0
M03,ni,27,1,0,1,inanim,0,0,1,0,0,tuhke,0,1,1,0,0,0
F02,ni,27,1,0,1,inanim,0,0,1,0,0,tuhke,0,1,1,0,0,0
M01,nan,28,1,0,0,inanim,1,0,0,0,0,kilel,1,1,1,0,0,0
M02,pohn,28,1,0,0,inanim,1,0,0,0,0,sdamp,1,1,1,0,0,0
F01,ni,28,1,0,0,inanim,1,0,0,0,0,sdamp,1,1,1,0,0,0
M03,ni,28,1,0,0,inanim,1,0,0,0,0,kilel,1,1,1,0,0,0
F02,nan,28,1,0,0,inanim,1,0,0,0,0,sdamp,1,1,1,0,0,0
M03,pohn,29,1,1,1,inanim,1,0,1,1,0,tehpel,0,0,0,0,0,0
M03,ni,30,1,0,1,inanim,0,0,0,0,1,apel,0,0,0,0,0,0
M01,pahn,31,0,1,1,anim,0,1,1,0,0,tehpel,1,0,1,0,0,0
M02,pahn,31,0,1,1,anim,0,1,1,0,0,tehpel,1,0,1,0,0,0
F01,pahn,31,0,1,1,anim,0,1,1,0,0,tehpel,1,0,1,0,0,0
M03,pahn,31,0,1,1,anim,0,1,1,0,0,tehpel,1,0,1,0,0,0
F02,pahn,31,0,1,1,anim,0,1,1,0,0,tehpel,1,0,1,0,0,0
M01,nan,32,0,0,1,anim,0,1,1,0,1,pwohl,0,0,1,0,0,0
M02,nan,32,0,0,1,anim,0,1,1,0,1,pwohl,0,0,1,0,0,0
F01,nan,32,0,0,1,anim,0,1,1,0,1,pwohl,0,0,1,0,0,0
M03,nan,32,0,0,1,anim,0,1,1,0,1,pwohl,0,0,1,0,0,0
F02,nan,32,0,0,1,anim,0,1,1,0,1,pwohl,0,0,1,0,0,0
M01,ni,33,1,1,0,inanim,0,0,1,1,0,sahl,0,1,0,0,0,0
M02,ni,33,1,1,0,inanim,0,0,1,1,0,sahl,0,1,0,0,0,0
F01,ni,33,1,1,0,inanim,0,0,1,1,0,sahl,0,1,0,0,0,0
M03,ni,33,1,1,0,inanim,0,0,1,1,0,sahl,0,1,0,0,0,0
F02,ni,33,1,1,0,inanim,0,0,1,1,0,sahl,0,1,0,0,0,0
M01,pohn,34,1,0,1,anim,1,0,1,0,0,ihmw,0,0,1,1,0,0
M02,pohn,34,1,0,1,anim,1,0,1,0,0,ihmw,0,0,1,1,0,0
F01,pohn,34,1,0,1,anim,1,0,1,0,0,ihmw,0,0,1,1,0,0
M03,pohn,34,1,0,1,anim,1,0,1,0,0,ihmw,0,0,1,1,0,0
F02,pohn,34,1,0,1,anim,1,0,1,0,0,ihmw,0,0,1,1,0,0
M01,ni,35,1,0,1,inanim,0,0,0,1,0,neh,1,1,1,0,0,0
M02,pohn,35,1,0,1,inanim,0,0,0,1,0,neh,1,1,1,0,0,0
F01,ni,35,1,0,1,inanim,0,0,0,1,0,neh,1,1,1,0,0,0
F02,ni,35,1,0,1,inanim,0,0,0,1,0,neh,1,1,1,0,0,0
F01,pohn,36,0,0,1,inanim,1,0,1,0,0,nahna,0,0,0,0,0,0
M03,nan,36,1,0,1,inanim,0,1,1,0,1,wehwe,0,0,1,0,0,0
F02,pohn,36,0,0,1,inanim,1,0,1,0,0,nahna,0,0,0,0,0,0
M01,ni,37,1,1,0,inanim,0,0,1,1,0,sahl,0,1,0,0,0,0
M02,ni,37,1,1,0,inanim,0,0,1,1,0,sahl,0,1,0,0,0,0
F01,pohn,37,1,1,0,inanim,0,0,1,1,0,sahl,0,1,0,0,0,0
F02,ni,37,1,1,0,inanim,0,0,1,1,0,sahl,0,1,0,0,0,0
M01,limwah,38,0,0,1,anim,0,0,1,0,0,kisiniei,0,0,0,0,1,0
M02,limwah,38,0,0,1,anim,0,0,1,0,0,kisiniei,0,0,0,0,1,0
F01,limwah,38,0,0,1,anim,0,0,1,0,0,kisiniei,0,0,0,0,1,0
M03,limwah,38,0,0,1,anim,0,0,1,0,0,kisiniei,0,0,0,0,1,0
F02,limwah,38,0,0,1,anim,0,0,1,0,0,kisiniei,0,0,0,0,1,0
M01,ni,39,1,0,1,anim,0,0,1,0,1,ewe,1,1,1,0,0,0
M02,nan,39,1,0,1,anim,0,0,1,0,1,ewe,1,1,1,0,0,0
F01,ni,39,1,0,1,anim,0,0,1,0,1,ewe,1,1,1,0,0,0
M03,ni,39,1,0,1,anim,0,0,1,0,1,ewe,1,1,1,0,0,0
